budget,log_budget,popularity,log_popularity,vote_average,vote_count,log_vote_count,runtime,release_year,release_month,release_quarter,release_dow,genre_count,prod_company_count,cast_size,star_power_count,season_winter,season_spring,season_summer,season_fall,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music,pc_Warner_Bros.,pc_Universal_Pictures,pc_Paramount_Pictures,pc_Twentieth_Century_Fox_Film_Corporation,pc_Columbia_Pictures,pc_New_Line_Cinema,pc_Metro-Goldwyn-Mayer_(MGM),pc_Touchstone_Pictures,pc_Walt_Disney_Pictures,pc_Relativity_Media
200000000.0,19.11382792951231,89.270217,4.502807583206587,6.5,4179.0,8.338066525518801,142.0,2014.0,4.0,2.0,2.0,3,4,65,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170000000.0,18.951309000896888,73.79505,4.314751706320084,6.3,2841.0,7.952263308657046,125.0,2010.0,12.0,4.0,4.0,3,6,23,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200000000.0,19.11382792951231,49.98659,3.9315626569727633,5.8,2033.0,7.617759576608505,106.0,2011.0,6.0,2.0,5.0,4,2,47,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
200000000.0,19.11382792951231,51.872839,3.9678897665548822,5.1,2487.0,7.81923445385907,114.0,2011.0,6.0,2.0,3.0,4,3,23,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200000000.0,19.11382792951231,59.995418,4.1107987465979585,7.6,4597.0,8.433376705323127,103.0,2010.0,6.0,2.0,2.0,3,2,45,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
200000000.0,19.11382792951231,71.862892,4.288579483353765,5.9,2463.0,7.80954132465341,115.0,2009.0,5.0,2.0,2.0,3,4,15,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
190000000.0,19.06253463538792,102.322217,4.637852425604862,7.3,4176.0,8.337348564497175,137.0,2015.0,4.0,2.0,2.0,1,10,52,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200000000.0,19.11382792951231,81.834855,4.416848926921172,6.7,5560.0,8.623533227187563,116.0,2013.0,6.0,2.0,3.0,5,7,22,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,118.078691,4.779784543477146,7.5,6032.0,8.704999678440762,131.0,2014.0,5.0,2.0,3.0,4,7,65,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
190000000.0,19.06253463538792,78.291018,4.373124856147531,7.4,4418.0,8.39366870513074,132.0,2013.0,5.0,2.0,6.0,3,4,98,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
